Vaalilaji;Vaalipiiri-/ hyvinvointialuenro;Kuntanro;Alueen tyyppi;Äänestysaluetunnus;Vaalipiirin/hv-alueen lyhenne suomeksi;Vaalipiirin/hv-alueen lyhenne ruotsiksi;Pysyvä puoluetunniste;Vakiopuoluenumero;Listajärjestysnumero;Puolueen/ryhmän nimilyhenne suomeksi;Puolueen/ryhmän nimilyhenne ruotsiksi;Puolueen/ryhmän nimilyhenne englanniksi;Kunnan/vaalipiirin/hv-alueen/ äänestysalueen nimi suomeksi;Kunnan/vaalipiirin/hv-alueen/ äänestysalueen nimi ruotsiksi;Puolueen/ryhmän nimi suomeksi;Puolueen/ryhmän nimi ruotsiksi;Puolueen/ryhmän nimi englanniksi;Pienin ehdokasnumero;Suurin ehdokasnumero;Vaaliliittonumero;Vaaliliiton nimi suomeksi;Vaaliliiton nimi ruotsiksi;Vaalitapahtuman nimilyhenne 1. vertailuvaali;Ennakkoääniä 1. vertailuvaali;Vaalipäivän ääniä 1. vertailuvaali;Ääniä yhteensä 1. vertailuvaali;Ennakkoäänien osuus (%) 1. vertailuvaali;Vaalipäivän äänien osuus (%) 1. vertailuvaali;Osuus (%) kaikista äänistä 1. vertailuvaali;Paikat 1. vertailuvaali;Vaalitapahtuman nimilyhenne 2. vertailuvaali;Ennakkoääniä 2. vertailuvaali;Vaalipäivän ääniä 2. vertailuvaali;Ääniä yhteensä 2. vertailuvaali;Ennakkoäänien osuus (%) 2. vertailuvaali;Vaalipäivän äänien osuus (%) 2. vertailuvaali;Osuus (%) kaikista äänistä 2. vertailuvaali;Ennakkoäänet lkm;Vaalipäivän äänet lkm;Äänet yhteensä lkm;Osuus ennakkoäänistä (%);Osuus vaalipäivän äänistä (%);Osuus kaikista äänistä (%);Paikat;Äänien lukumäärän muutos 1. vertailuvaali;Ääniosuuden muutos 1. vertailuvaali;Paikkamuutos 1. vertailuvaali;Äänien lukumäärän muutos 2. vertailuvaali;Ääniosuuden muutos 2. vertailuvaali;Laskennan tila;Laskentavaihe;Viimeisin päivitys;Total Votes;Osuus(%);Voittaja;Voittaja_lyhenne
E   ;1;91;A;001A;HEL;HEL;30;11;1;PIR   ;PIR   ;PIR   ;Kruununhaka A                           ;Kronohagen A                            ;Piraattipuolue                                                                                      ;Piratpartiet                                                                                        ;Pirate Party of Finland                                                                             ;2;21;1;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;5;2;7;3;1;2;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.23;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;33;10;2;LIBE  ;LIBE  ;LIBE  ;Kruununhaka A                           ;Kronohagen A                            ;Liberaalipuolue - Vapaus valita                                                                     ;Liberalpartiet - Frihet att välja                                                                   ;The Liberal Party - Freedom to choose                                                               ;22;44;2;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;15;15;30;9;10;10;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.97;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;41;19;3;AP    ;ÖP    ;OP    ;Kruununhaka A                           ;Kronohagen A                            ;Avoin Puolue                                                                                        ;Öppna Partiet                                                                                       ;The Open Party                                                                                      ;45;52;3;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;3;4;1;2;1;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.13;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;43;22;4;VKK   ;VKK   ;VKK   ;Kruununhaka A                           ;Kronohagen A                            ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;Valta kuuluu kansalle                                                                               ;53;62;4;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;0;5;5;0;3;2;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.16;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;15;6;5;VAS   ;VÄNST ;LEFT  ;Kruununhaka A                           ;Kronohagen A                            ;Vasemmistoliitto                                                                                    ;Vänsterförbundet                                                                                    ;The Left Alliance                                                                                   ;63;85;5;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;174;136;310;106;94;100;0;0;0;0;0;0;V;T;2,02304E+13;3090;10.03;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;5;7;6;RKP   ;SFP   ;SPP   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen ruotsalainen kansanpuolue                                                                    ;Svenska folkpartiet i Finland                                                                       ;The Swedish People's Party of Finland                                                               ;86;108;6;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;136;106;242;83;73;78;0;0;0;0;0;0;V;T;2,02304E+13;3090;7.83;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;40;9;7;LIIK  ;RN    ;MOVE  ;Kruununhaka A                           ;Kronohagen A                            ;Liike Nyt                                                                                           ;Rörelse.nu                                                                                          ;Movement Now                                                                                        ;109;131;7;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;15;30;45;9;21;15;0;0;0;0;0;0;V;T;2,02304E+13;3090;1.46;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;4;3;8;KOK   ;SAML  ;NCP   ;Kruununhaka A                           ;Kronohagen A                            ;Kansallinen Kokoomus                                                                                ;Samlingspartiet                                                                                     ;National Coalition Party                                                                            ;132;154;8;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;704;576;1280;428;398;414;0;0;0;0;0;0;V;T;2,02304E+13;3090;41.42;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;8;20;9;SKP   ;FKP   ;CPF   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Kommunistinen Puolue                                                                         ;Finlands Kommunistiska Parti                                                                        ;The Communist Party of Finland                                                                      ;155;168;9;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;1;2;3;1;1;1;0;0;0;0;0;0;V;T;2,02304E+13;3090;0.1;Kansallinen Kokoomus                                                                                ;KOK   
E   ;1;91;A;001A;HEL;HEL;1;1;10;SDP   ;SDP   ;SDP   ;Kruununhaka A                           ;Kronohagen A                            ;Suomen Sosialidemokraattinen Puolue                                                                 ;Finlands Socialdemokratiska Parti                                                                   ;The Finnish Social Democratic Party                                                                 ;169;191;10;                                        ;                                        ;          ;       ;       ;       ;    ;    ;    ;     ;          ;       ;       ;       ;    ;    ;    ;197;216;413;120;149;134;0;0;0;0;0;0;V;T;2,02304E+13;3090;13.37;Kansallinen Kokoomus                                                                                ;KOK   
